	nm	  W/sm/nm   W/sm

     3005     0.403  1.551E+1
     3015     0.445  1.596E+1
     3025     0.484  1.644E+1
     3035     0.631  1.707E+1
     3045     0.610  1.768E+1
     3055     0.580  1.826E+1
     3065     0.575  1.884E+1
     3075     0.645  1.948E+1
     3085     0.613  2.010E+1
     3095     0.484  2.034E+1
     3100     0.495  2.054E+1
     3104     0.507  2.074E+1
     3108     0.588  2.097E+1
     3112     0.707  2.126E+1
     3116     0.747  2.156E+1
     3120     0.707  2.184E+1
     3124     0.644  2.210E+1
     3128     0.663  2.236E+1
     3132     0.710  2.265E+1
     3136     0.691  2.292E+1
     3140     0.689  2.320E+1
     3144     0.722  2.349E+1
     3148     0.673  2.375E+1
     3152     0.695  2.403E+1
     3156     0.765  2.434E+1
     3160     0.675  2.461E+1
     3164     0.569  2.484E+1
     3168     0.623  2.509E+1
     3172     0.749  2.539E+1
     3176     0.830  2.572E+1
     3180     0.813  2.604E+1
     3184     0.673  2.631E+1
     3188     0.642  2.657E+1
     3192     0.768  2.688E+1
     3196     0.759  2.718E+1
     3200     0.712  2.746E+1
     3204     0.778  2.778E+1
     3208     0.844  2.811E+1
     3212     0.847  2.845E+1
     3216     0.736  2.875E+1
     3220     0.695  2.902E+1
     3224     0.773  2.933E+1
     3228     0.758  2.964E+1 
     3232     0.646  2.989E+1
     3236     0.603  3.014E+1
     3240     0.604  3.038E+1
     3244     0.618  3.063E+1
     3248     0.654  3.089E+1
     3252     0.646  3.115E+1
     3256     0.682  3.142E+1
     3260     0.852  3.176E+1
     3264     1.049  3.218E+1
     3268     1.111  3.262E+1
     3272     1.108  3.307E+1
     3276     1.050  3.349E+1
     3280     0.965  3.387E+1
     3284     0.914  3.424E+1
     3288     0.913  3.460E+1
     3292     0.952  3.498E+1
     3296     1.043  3.540E+1
     3300     1.144  3.586E+1
     3304     1.137  3.597E+1
     3305     1.006  3.698E+1
     3315     0.968  3.795E+1
     3325     0.921  3.887E+1
     3335     0.905  3.977E+1
     3345     0.940  4.071E+1
     3355     0.982  4.169E+1
     3365     0.765  4.246E+1
     3375     0.866  4.332E+1
     3385     0.916  4.424E+1
     3395     0.937  4.517E+1
     3405     0.992  4.617E+1
     3415     0.936  4.710E+1
     3425     0.995  4.810E+1
     3435     0.985  4.908E+1
     3445     0.719  4.980E+1
     3455     0.967  5.077E+1
     3465     0.919  5.169E+1
     3475     0.902  5.259E+1
     3485     0.948  5.354E+1
     3495     0.865  5.440E+1
     3505     1.119  5.552E+1
     3515     0.993  5.651E+1
     3525     0.871  5.738E+1
     3535     1.115  5.850E+1
     3545     1.133  5.963E+1
     3555     1.058  6.069E+1
     3565     0.938  6.163E+1
     3575     0.891  6.252E+1
     3585     0.627  6.314E+1
     3595     1.136  6.428E+1
     3605     0.979  6.526E+1
     3615     0.894  6.615E+1
     3625     1.175  6.733E+1
     3635     0.958  6.829E+1
     3645     1.015  6.930E+1
     3655     1.263  7.056E+1
     3665     1.249  7.181E+1
     3675     1.214  7.303E+1
     3685     1.088  7.412E+1
     3695     1.331  7.545E+1
     3705     1.075  7.652E+1
     3715     1.307  7.783E+1
     3725     1.065  7.889E+1
     3735     0.838  7.973E+1
     3745     0.878  8.061E+1
     3755     1.141  8.175E+1
     3765     1.101  8.285E+1
     3775     1.291  8.414E+1
     3785     1.341  8.549E+1
     3795     1.000  8.649E+1
     3805     1.289  8.777E+1
     3815     1.096  8.887E+1
     3825     0.733  8.960E+1
     3835     0.684  9.029E+1
     3845     1.027  9.131E+1
     3855     0.954  9.227E+1
     3865     1.071  9.334E+1
     3875     0.966  9.430E+1
     3885     0.912  9.522E+1
     3895     1.227  9.644E+1
     3905     1.223  9.767E+1
     3915     1.398  9.906E+1
     3925     0.955  1.000E+2
     3935     0.489  1.005E+2
     3945     1.101  1.016E+2
     3955     1.378  1.030E+2
     3965     0.650  1.036E+2
     3975     1.040  1.047E+2
     3985     1.538  1.062E+2
     3995     1.655  1.079E+2
     4005     1.649  1.095E+2
     4015     1.796  1.113E+2
     4025     1.803  1.131E+2
     4035     1.658  1.148E+2
     4045     1.602  1.164E+2
     4055     1.672  1.180E+2
     4065     1.624  1.197E+2
     4075     1.545  1.212E+2
     4085     1.824  1.230E+2
     4095     1.706  1.247E+2
     4105     1.502  1.263E+2
     4115     1.819  1.281E+2
     4125     1.791  1.299E+2
     4135     1.758  1.316E+2
     4145     1.739  1.334E+2
     4155     1.736  1.351E+2
     4165     1.844  1.369E+2
     4175     1.667  1.386E+2
     4185     1.686  1.403E+2
     4195     1.703  1.420E+2
     4205     1.760  1.438E+2
     4215     1.799  1.456E+2
     4225     1.584  1.471E+2
     4235     1.713  1.488E+2
     4245     1.770  1.506E+2
     4255     1.697  1.523E+2
     4265     1.700  1.540E+2
     4275     1.571  1.556E+2
     4285     1.589  1.572E+2
     4295     1.477  1.587E+2
     4305     1.136  1.598E+2
     4315     1.688  1.615E+2
     4325     1.648  1.631E+2
     4335     1.733  1.649E+2
     4345     1.672  1.665E+2
     4355     1.725  1.683E+2
     4365     1.931  1.702E+2
     4375     1.808  1.720E+2
     4385     1.569  1.736E+2
     4395     1.827  1.754E+2
     4405     1.715  1.771E+2
     4415     1.933  1.790E+2
     4425     1.982  1.810E+2
     4435     1.911  1.829E+2
     4445     1.975  1.849E+2
     4455     1.823  1.867E+2
     4465     1.893  1.886E+2
     4475     2.079  1.907E+2
     4485     1.975  1.927E+2
     4495     2.029  1.947E+2
     4505     2.146  1.968E+2
     4515     2.111  1.990E+2
     4525     1.943  2.009E+2
     4535     1.972  2.029E+2
     4545     1.981  2.049E+2
     4555     2.036  2.069E+2
     4565     2.079  2.090E+2
     4575     2.102  2.111E+2
     4585     1.973  2.130E+2
     4595     2.011  2.151E+2
     4605     2.042  2.171E+2
     4615     2.057  2.192E+2
     4625     2.106  2.213E+2
     4635     2.042  2.233E+2
