#iRMS=3.888022911e-05 0
#    lk   ukf_a7v   uks_a7v        fh        fse
#
 3000.0  0.704922  0.014083  0.704922  0.000000
 3005.0  0.710490  0.044158  0.710490  0.000000
 3010.0  0.730701  0.057801  0.730701  0.000000
 3015.0  0.721306  0.019669  0.721306  0.000000
 3020.0  0.694783  0.038589  0.694783  0.000000
 3025.0  0.691646  0.038854  0.691646  0.000000
 3030.0  0.680834  0.013292  0.680834  0.000000
 3035.0  0.685669  0.004687  0.685669  0.000000
 3040.0  0.672189  0.048377  0.672189  0.000000
 3045.0  0.675454  0.022755  0.675454  0.000000
 3050.0  0.662725  0.005459  0.662725  0.000000
 3055.0  0.681785  0.012266  0.681785  0.000000
 3060.0  0.671157  0.024008  0.671157  0.000000
 3065.0  0.664201  0.007370  0.664201  0.000000
 3070.0  0.667946  0.001505  0.667946  0.000000
 3075.0  0.689995  0.015199  0.689995  0.000000
 3080.0  0.699192  0.006441  0.699192  0.000000
 3085.0  0.699441  0.025636  0.699441  0.000000
 3090.0  0.691000  0.002719  0.691000  0.000000
 3095.0  0.649487  0.059284  0.649487  0.000000
 3100.0  0.672552  0.037832  0.672552  0.000000
 3105.0  0.671262  0.018692  0.671262  0.000000
 3110.0  0.693115  0.012842  0.693115  0.000000
 3115.0  0.671473  0.067674  0.671473  0.000000
 3120.0  0.660377  0.010025  0.660377  0.000000
 3125.0  0.677744  0.039857  0.677744  0.000000
 3130.0  0.690986  0.001485  0.690986  0.000000
 3135.0  0.705279  0.013316  0.705279  0.000000
 3140.0  0.727749  0.016980  0.727749  0.000000
 3145.0  0.719030  0.001191  0.719030  0.000000
 3150.0  0.735092  0.004215  0.735092  0.000000
 3155.0  0.710794  0.030553  0.710794  0.000000
 3160.0  0.713408  0.035641  0.713408  0.000000
 3165.0  0.717529  0.034573  0.717529  0.000000
 3170.0  0.722334  0.029936  0.722334  0.000000
 3175.0  0.723621  0.024367  0.723621  0.000000
 3180.0  0.718068  0.022935  0.718068  0.000000
 3185.0  0.705345  0.029198  0.705345  0.000000
 3190.0  0.729098  0.002254  0.729098  0.000000
 3195.0  0.721978  0.020350  0.721978  0.000000
 3200.0  0.751995  0.000000  0.751995  0.000000
 3205.0  0.755249  0.000000  0.755249  0.000000
 3210.0  0.744259  0.000000  0.744259  0.000000
 3215.0  0.718227  0.000000  0.718227  0.000000
 3220.0  0.693225  0.000000  0.693225  0.000000
 3225.0  0.684077  0.000000  0.684077  0.000000
 3230.0  0.683725  0.000000  0.683725  0.000000
 3235.0  0.682725  0.000000  0.682725  0.000000
 3240.0  0.683967  0.000000  0.683967  0.000000
 3245.0  0.692211  0.000000  0.692211  0.000000
 3250.0  0.707371  0.000000  0.707371  0.000000
 3255.0  0.727452  0.000000  0.727452  0.000000
 3260.0  0.747671  0.000000  0.747671  0.000000
 3265.0  0.761479  0.000000  0.761479  0.000000
 3270.0  0.758034  0.000000  0.758034  0.000000
 3275.0  0.733296  0.000000  0.733296  0.000000
 3280.0  0.714724  0.000000  0.714724  0.000000
 3285.0  0.727253  0.000000  0.727253  0.000000
 3290.0  0.754242  0.000000  0.754242  0.000000
 3295.0  0.772982  0.000000  0.772982  0.000000
