#lRMS=0.003538307967 iRMS=0.0001371480321 0
#    lk   ukf_g8v   uks_g8v        fh       fse        fl         fd
#
 3000.0  0.171313  0.000000  0.171313  0.000000  0.000000  0.000000
 3005.0  0.173630  0.000000  0.173630  0.000000  0.000000  0.000000
 3010.0  0.177703  0.000000  0.177703  0.000000  0.000000  0.000000
 3015.0  0.183185  0.000000  0.183185  0.000000  0.000000  0.000000
 3020.0  0.189728  0.000000  0.189728  0.000000  0.000000  0.000000
 3025.0  0.196984  0.000000  0.196984  0.000000  0.000000  0.000000
 3030.0  0.204605  0.000000  0.204605  0.000000  0.000000  0.000000
 3035.0  0.212242  0.000000  0.212242  0.000000  0.000000  0.000000
 3040.0  0.219549  0.000000  0.219549  0.000000  0.000000  0.000000
 3045.0  0.226177  0.000000  0.226177  0.000000  0.000000  0.000000
 3050.0  0.231777  0.000000  0.231777  0.000000  0.000000  0.000000
 3055.0  0.236089  0.000000  0.236089  0.000000  0.000000  0.000000
 3060.0  0.239202  0.000000  0.239202  0.000000  0.000000  0.000000
 3065.0  0.241288  0.000000  0.241288  0.000000  0.000000  0.000000
 3070.0  0.242524  0.000000  0.242524  0.000000  0.000000  0.000000
 3075.0  0.243084  0.000000  0.243084  0.000000  0.000000  0.000000
 3080.0  0.243142  0.000000  0.243142  0.000000  0.000000  0.000000
 3085.0  0.242873  0.000000  0.242873  0.000000  0.000000  0.000000
 3090.0  0.242453  0.000000  0.242453  0.000000  0.000000  0.000000
 3095.0  0.242055  0.000000  0.242055  0.000000  0.000000  0.000000
 3100.0  0.241854  0.000000  0.241854  0.000000  0.000000  0.000000
 3105.0  0.241995  0.000000  0.241995  0.000000  0.000000  0.000000
 3110.0  0.242495  0.000000  0.242495  0.000000  0.000000  0.000000
 3115.0  0.243343  0.000000  0.243343  0.000000  0.000000  0.000000
 3120.0  0.244526  0.000000  0.244526  0.000000  0.000000  0.000000
 3125.0  0.246032  0.000000  0.246032  0.000000  0.000000  0.000000
 3130.0  0.247849  0.000000  0.247849  0.000000  0.000000  0.000000
 3135.0  0.249965  0.000000  0.249965  0.000000  0.000000  0.000000
 3140.0  0.252366  0.000000  0.252366  0.000000  0.000000  0.000000
 3145.0  0.255041  0.000000  0.255041  0.000000  0.000000  0.000000
 3150.0  0.257978  0.000000  0.257978  0.000000  0.000000  0.000000
 3155.0  0.261157  0.000000  0.261157  0.000000  0.000000  0.000000
 3160.0  0.265231  0.000778  0.265231  0.000000  0.000000  0.000000
 3165.0  0.271156  0.003472  0.271156  0.000000  0.000000  0.000000
 3170.0  0.280051  0.009381  0.280051  0.000000  0.000000  0.000000
 3175.0  0.292003  0.018669  0.292003  0.000000  0.000000  0.000000
 3180.0  0.295858  0.018919  0.295858  0.000000  0.000000  0.000000
 3185.0  0.284246  0.001956  0.284246  0.000000  0.000000  0.000000
 3190.0  0.276205  0.010882  0.276205  0.000000  0.000000  0.000000
 3195.0  0.288664  0.000603  0.288664  0.000000  0.000000  0.000000
 3200.0  0.315231  0.000000  0.315231  0.000000  0.000000  0.000000
 3205.0  0.308382  0.000000  0.308382  0.000000  0.000000  0.000000
 3210.0  0.283058  0.000000  0.283058  0.000000  0.000000  0.000000
 3215.0  0.263657  0.000000  0.263657  0.000000  0.000000  0.000000
 3220.0  0.255357  0.000000  0.255357  0.000000  0.000000  0.000000
 3225.0  0.257783  0.000000  0.257783  0.000000  0.000000  0.000000
 3230.0  0.267572  0.000000  0.267572  0.000000  0.000000  0.000000
 3235.0  0.281237  0.000000  0.281237  0.000000  0.000000  0.000000
 3240.0  0.297794  0.000000  0.297794  0.000000  0.000000  0.000000
 3245.0  0.316914  0.000000  0.316914  0.000000  0.000000  0.000000
 3250.0  0.338408  0.000000  0.338408  0.000000  0.000000  0.000000
 3255.0  0.361189  0.000000  0.361189  0.000000  0.000000  0.000000
 3260.0  0.380455  0.000000  0.380455  0.000000  0.000000  0.000000
 3265.0  0.392062  0.000000  0.392062  0.000000  0.000000  0.000000
 3270.0  0.398199  0.000000  0.398199  0.000000  0.000000  0.000000
 3275.0  0.402000  0.000000  0.402000  0.000000  0.000000  0.000000
 3280.0  0.404030  0.000000  0.404030  0.000000  0.000000  0.000000
 3285.0  0.405645  0.000000  0.405645  0.000000  0.000000  0.000000
 3290.0  0.413935  0.000000  0.413935  0.000000  0.000000  0.000000
 3295.0  0.432279  0.000000  0.432279  0.000000  0.000000  0.000000
 3300.0  0.443458  0.000000  0.443458  0.000000  0.000000  0.000000
 3305.0  0.432701  0.000000  0.432701  0.000000  0.000000  0.000000
 3310.0  0.415602  0.000000  0.415602  0.000000  0.000000  0.000000
 3315.0  0.409338  0.000000  0.409338  0.000000  0.000000  0.000000
 3320.0  0.407042  0.000000  0.407042  0.000000  0.000000  0.000000
 3325.0  0.399142  0.000000  0.399142  0.000000  0.000000  0.000000
 3330.0  0.389287  0.000000  0.389287  0.000000  0.000000  0.000000
 3335.0  0.384063  0.000000  0.384063  0.000000  0.000000  0.000000
 3340.0  0.388578  0.000000  0.388578  0.000000  0.000000  0.000000
 3345.0  0.403001  0.000000  0.403001  0.000000  0.000000  0.000000
 3350.0  0.409213  0.000000  0.409213  0.000000  0.000000  0.000000
 3355.0  0.392021  0.000000  0.392021  0.000000  0.000000  0.000000
 3360.0  0.366215  0.000000  0.366215  0.000000  0.000000  0.000000
 3365.0  0.350381  0.000000  0.350381  0.000000  0.000000  0.000000
 3370.0  0.348279  0.000000  0.348279  0.000000  0.000000  0.000000
 3375.0  0.358683  0.000000  0.358683  0.000000  0.000000  0.000000
 3380.0  0.375238  0.000000  0.375238  0.000000  0.000000  0.000000
 3385.0  0.391339  0.000000  0.391339  0.000000  0.000000  0.000000
 3390.0  0.404525  0.000000  0.404525  0.000000  0.000000  0.000000
 3395.0  0.413414  0.000000  0.413414  0.000000  0.000000  0.000000
 3400.0  0.416792  0.000000  0.416792  0.000000  0.000000  0.000000
 3405.0  0.414170  0.000000  0.414170  0.000000  0.000000  0.000000
 3410.0  0.407804  0.000000  0.407804  0.000000  0.000000  0.000000
 3415.0  0.401442  0.000000  0.401442  0.000000  0.000000  0.000000
 3420.0  0.402059  0.000000  0.402059  0.000000  0.000000  0.000000
 3425.0  0.411958  0.000000  0.411958  0.000000  0.000000  0.000000
