#lRMS=0.0001856670424 iRMS=2.672614937e-05 0
#    lk   ukf_o9v   uks_o9v        fh       fse        fd         fl
#
 3000.0  8.259529  0.236220  8.259529  0.000000  0.000000  0.000000
 3005.0  8.255378  0.038790  8.255378  0.000000  0.000000  0.000000
 3010.0  8.310946  0.520631  8.310946  0.000000  0.000000  0.000000
 3015.0  8.104469  0.122237  8.104469  0.000000  0.000000  0.000000
 3020.0  8.111991  0.260085  8.111991  0.000000  0.000000  0.000000
 3025.0  7.855338  0.229470  7.855338  0.000000  0.000000  0.000000
 3030.0  7.688312  0.334161  7.688312  0.000000  0.000000  0.000000
 3035.0  7.823802  0.527945  7.823802  0.000000  0.000000  0.000000
 3040.0  7.656194  0.277854  7.656194  0.000000  0.000000  0.000000
 3045.0  7.539006  0.338780  7.539006  0.000000  0.000000  0.000000
 3050.0  7.491537  0.209619  7.491537  0.000000  0.000000  0.000000
 3055.0  7.818552  0.431247  7.818552  0.000000  0.000000  0.000000
 3060.0  7.852964  0.125783  7.852964  0.000000  0.000000  0.000000
 3065.0  7.725424  0.239830  7.725424  0.000000  0.000000  0.000000
 3070.0  7.582837  0.216130  7.582837  0.000000  0.000000  0.000000
 3075.0  7.608283  0.230507  7.608283  0.000000  0.000000  0.000000
 3080.0  7.590023  0.506638  7.590023  0.000000  0.000000  0.000000
 3085.0  7.743467  0.391288  7.743467  0.000000  0.000000  0.000000
 3090.0  7.642740  0.274959  7.642740  0.000000  0.000000  0.000000
 3095.0  7.524016  0.222796  7.524016  0.000000  0.000000  0.000000
 3100.0  7.496709  0.182466  7.496709  0.000000  0.000000  0.000000
 3105.0  7.654686  0.370333  7.654686  0.000000  0.000000  0.000000
 3110.0  7.597672  0.482080  7.597672  0.000000  0.000000  0.000000
 3115.0  7.411123  0.403522  7.411123  0.000000  0.000000  0.000000
 3120.0  7.332458  0.315764  7.332458  0.000000  0.000000  0.000000
 3125.0  7.412077  0.315210  7.412077  0.000000  0.000000  0.000000
 3130.0  7.479474  0.391626  7.479474  0.000000  0.000000  0.000000
 3135.0  7.629660  0.343530  7.629660  0.000000  0.000000  0.000000
 3140.0  7.594223  0.333914  7.594223  0.000000  0.000000  0.000000
 3145.0  7.675559  0.485119  7.675559  0.000000  0.000000  0.000000
 3150.0  7.695664  0.604287  7.695664  0.000000  0.000000  0.000000
 3155.0  7.460481  0.422201  7.460481  0.000000  0.000000  0.000000
 3160.0  7.077505  0.389569  7.077505  0.000000  0.000000  0.000000
